,0,1,2,3,4,5,6,7
203,203.0,vhigh,high,5-more,4.0,med,high,unacc
204,204.0,vhigh,high,5-more,4.0,big,low,unacc
205,205.0,vhigh,high,5-more,4.0,big,med,unacc
206,206.0,vhigh,high,5-more,4.0,big,high,unacc
207,207.0,vhigh,high,5-more,more,small,low,unacc
208,208.0,vhigh,high,5-more,more,small,med,unacc
209,209.0,vhigh,high,5-more,more,small,high,unacc
210,210.0,vhigh,high,5-more,more,med,low,unacc
211,211.0,vhigh,high,5-more,more,med,med,unacc
212,212.0,vhigh,high,5-more,more,med,high,unacc
213,213.0,vhigh,high,5-more,more,big,low,unacc
214,214.0,vhigh,high,5-more,more,big,med,unacc
215,215.0,vhigh,high,5-more,more,big,high,unacc
216,216.0,vhigh,med,2.0,2.0,small,low,unacc
217,217.0,vhigh,med,2.0,2.0,small,med,unacc
218,218.0,vhigh,med,2.0,2.0,small,high,unacc
219,219.0,vhigh,med,2.0,2.0,med,low,unacc
220,220.0,vhigh,med,2.0,2.0,med,med,unacc
221,221.0,vhigh,med,2.0,2.0,med,high,unacc
222,222.0,vhigh,med,2.0,2.0,big,low,unacc
223,223.0,vhigh,med,2.0,2.0,big,med,unacc
224,224.0,vhigh,med,2.0,2.0,big,high,unacc
225,225.0,vhigh,med,2.0,4.0,small,low,unacc
226,226.0,vhigh,med,2.0,4.0,small,med,unacc
227,227.0,vhigh,med,2.0,4.0,small,high,acc
228,228.0,vhigh,med,2.0,4.0,med,low,unacc
229,229.0,vhigh,med,2.0,4.0,med,med,unacc
230,230.0,vhigh,med,2.0,4.0,med,high,acc
231,231.0,vhigh,med,2.0,4.0,big,low,unacc
232,232.0,vhigh,med,2.0,4.0,big,med,acc
233,233.0,vhigh,med,2.0,4.0,big,high,acc
234,234.0,vhigh,med,2.0,more,small,low,unacc
235,235.0,vhigh,med,2.0,more,small,med,unacc
236,236.0,vhigh,med,2.0,more,small,high,unacc
237,237.0,vhigh,med,2.0,more,med,low,unacc
238,238.0,vhigh,med,2.0,more,med,med,unacc
239,239.0,vhigh,med,2.0,more,med,high,acc
240,240.0,vhigh,med,2.0,more,big,low,unacc
241,241.0,vhigh,med,2.0,more,big,med,acc
242,242.0,vhigh,med,2.0,more,big,high,acc
243,243.0,vhigh,med,3.0,2.0,small,low,unacc
244,244.0,vhigh,med,3.0,2.0,small,med,unacc
245,245.0,vhigh,med,3.0,2.0,small,high,unacc
246,246.0,vhigh,med,3.0,2.0,med,low,unacc
247,247.0,vhigh,med,3.0,2.0,med,med,unacc
248,248.0,vhigh,med,3.0,2.0,med,high,unacc
249,249.0,vhigh,med,3.0,2.0,big,low,unacc
250,250.0,vhigh,med,3.0,2.0,big,med,unacc
251,251.0,vhigh,med,3.0,2.0,big,high,unacc
252,252.0,vhigh,med,3.0,4.0,small,low,unacc
253,253.0,vhigh,med,3.0,4.0,small,med,unacc
254,254.0,vhigh,med,3.0,4.0,small,high,acc
255,255.0,vhigh,med,3.0,4.0,med,low,unacc
256,256.0,vhigh,med,3.0,4.0,med,med,unacc
257,257.0,vhigh,med,3.0,4.0,med,high,acc
258,258.0,vhigh,med,3.0,4.0,big,low,unacc
259,259.0,vhigh,med,3.0,4.0,big,med,acc
260,260.0,vhigh,med,3.0,4.0,big,high,acc
261,261.0,vhigh,med,3.0,more,small,low,unacc
262,262.0,vhigh,med,3.0,more,small,med,unacc
263,263.0,vhigh,med,3.0,more,small,high,acc
264,264.0,vhigh,med,3.0,more,med,low,unacc
265,265.0,vhigh,med,3.0,more,med,med,acc
266,266.0,vhigh,med,3.0,more,med,high,acc
267,267.0,vhigh,med,3.0,more,big,low,unacc
268,268.0,vhigh,med,3.0,more,big,med,acc
269,269.0,vhigh,med,3.0,more,big,high,acc
270,270.0,vhigh,med,4.0,2.0,small,low,unacc
271,271.0,vhigh,med,4.0,2.0,small,med,unacc
272,272.0,vhigh,med,4.0,2.0,small,high,unacc
273,273.0,vhigh,med,4.0,2.0,med,low,unacc
274,274.0,vhigh,med,4.0,2.0,med,med,unacc
275,275.0,vhigh,med,4.0,2.0,med,high,unacc
276,276.0,vhigh,med,4.0,2.0,big,low,unacc
277,277.0,vhigh,med,4.0,2.0,big,med,unacc
278,278.0,vhigh,med,4.0,2.0,big,high,unacc
279,279.0,vhigh,med,4.0,4.0,small,low,unacc
280,280.0,vhigh,med,4.0,4.0,small,med,unacc
281,281.0,vhigh,med,4.0,4.0,small,high,acc
282,282.0,vhigh,med,4.0,4.0,med,low,unacc
283,283.0,vhigh,med,4.0,4.0,med,med,acc
284,284.0,vhigh,med,4.0,4.0,med,high,acc
285,285.0,vhigh,med,4.0,4.0,big,low,unacc
286,286.0,vhigh,med,4.0,4.0,big,med,acc
287,287.0,vhigh,med,4.0,4.0,big,high,acc
288,288.0,vhigh,med,4.0,more,small,low,unacc
289,289.0,vhigh,med,4.0,more,small,med,unacc
290,290.0,vhigh,med,4.0,more,small,high,acc
291,291.0,vhigh,med,4.0,more,med,low,unacc
292,292.0,vhigh,med,4.0,more,med,med,acc
293,293.0,vhigh,med,4.0,more,med,high,acc
294,294.0,vhigh,med,4.0,more,big,low,unacc
295,295.0,vhigh,med,4.0,more,big,med,acc
296,296.0,vhigh,med,4.0,more,big,high,acc
297,297.0,vhigh,med,5-more,2.0,small,low,unacc
298,298.0,vhigh,med,5-more,2.0,small,med,unacc
299,299.0,vhigh,med,5-more,2.0,small,high,unacc
300,300.0,vhigh,med,5-more,2.0,med,low,unacc
301,301.0,vhigh,med,5-more,2.0,med,med,unacc
302,302.0,vhigh,med,5-more,2.0,med,high,unacc
303,303.0,vhigh,med,5-more,2.0,big,low,unacc
304,304.0,vhigh,med,5-more,2.0,big,med,unacc
305,305.0,vhigh,med,5-more,2.0,big,high,unacc
306,306.0,vhigh,med,5-more,4.0,small,low,unacc
307,307.0,vhigh,med,5-more,4.0,small,med,unacc
308,308.0,vhigh,med,5-more,4.0,small,high,acc
309,309.0,vhigh,med,5-more,4.0,med,low,unacc
310,310.0,vhigh,med,5-more,4.0,med,med,acc
311,311.0,vhigh,med,5-more,4.0,med,high,acc
312,312.0,vhigh,med,5-more,4.0,big,low,unacc
313,313.0,vhigh,med,5-more,4.0,big,med,acc
314,314.0,vhigh,med,5-more,4.0,big,high,acc
315,315.0,vhigh,med,5-more,more,small,low,unacc
316,316.0,vhigh,med,5-more,more,small,med,unacc
317,317.0,vhigh,med,5-more,more,small,high,acc
318,318.0,vhigh,med,5-more,more,med,low,unacc
319,319.0,vhigh,med,5-more,more,med,med,acc
320,320.0,vhigh,med,5-more,more,med,high,acc
321,321.0,vhigh,med,5-more,more,big,low,unacc
322,322.0,vhigh,med,5-more,more,big,med,acc
323,323.0,vhigh,med,5-more,more,big,high,acc
324,324.0,vhigh,low,2.0,2.0,small,low,unacc
325,325.0,vhigh,low,2.0,2.0,small,med,unacc
326,326.0,vhigh,low,2.0,2.0,small,high,unacc
327,327.0,vhigh,low,2.0,2.0,med,low,unacc
328,328.0,vhigh,low,2.0,2.0,med,med,unacc
329,329.0,vhigh,low,2.0,2.0,med,high,unacc
330,330.0,vhigh,low,2.0,2.0,big,low,unacc
331,331.0,vhigh,low,2.0,2.0,big,med,unacc
332,332.0,vhigh,low,2.0,2.0,big,high,unacc
333,333.0,vhigh,low,2.0,4.0,small,low,unacc
334,334.0,vhigh,low,2.0,4.0,small,med,unacc
335,335.0,vhigh,low,2.0,4.0,small,high,acc
336,336.0,vhigh,low,2.0,4.0,med,low,unacc
337,337.0,vhigh,low,2.0,4.0,med,med,unacc
338,338.0,vhigh,low,2.0,4.0,med,high,acc
339,339.0,vhigh,low,2.0,4.0,big,low,unacc
340,340.0,vhigh,low,2.0,4.0,big,med,acc
341,341.0,vhigh,low,2.0,4.0,big,high,acc
342,342.0,vhigh,low,2.0,more,small,low,unacc
343,343.0,vhigh,low,2.0,more,small,med,unacc
344,344.0,vhigh,low,2.0,more,small,high,unacc
345,345.0,vhigh,low,2.0,more,med,low,unacc
346,346.0,vhigh,low,2.0,more,med,med,unacc
347,347.0,vhigh,low,2.0,more,med,high,acc
348,348.0,vhigh,low,2.0,more,big,low,unacc
349,349.0,vhigh,low,2.0,more,big,med,acc
350,350.0,vhigh,low,2.0,more,big,high,acc
351,351.0,vhigh,low,3.0,2.0,small,low,unacc
352,352.0,vhigh,low,3.0,2.0,small,med,unacc
353,353.0,vhigh,low,3.0,2.0,small,high,unacc
354,354.0,vhigh,low,3.0,2.0,med,low,unacc
355,355.0,vhigh,low,3.0,2.0,med,med,unacc
356,356.0,vhigh,low,3.0,2.0,med,high,unacc
357,357.0,vhigh,low,3.0,2.0,big,low,unacc
358,358.0,vhigh,low,3.0,2.0,big,med,unacc
359,359.0,vhigh,low,3.0,2.0,big,high,unacc
360,360.0,vhigh,low,3.0,4.0,small,low,unacc
361,361.0,vhigh,low,3.0,4.0,small,med,unacc
362,362.0,vhigh,low,3.0,4.0,small,high,acc
363,363.0,vhigh,low,3.0,4.0,med,low,unacc
364,364.0,vhigh,low,3.0,4.0,med,med,unacc
365,365.0,vhigh,low,3.0,4.0,med,high,acc
366,366.0,vhigh,low,3.0,4.0,big,low,unacc
367,367.0,vhigh,low,3.0,4.0,big,med,acc
368,368.0,vhigh,low,3.0,4.0,big,high,acc
369,369.0,vhigh,low,3.0,more,small,low,unacc
370,370.0,vhigh,low,3.0,more,small,med,unacc
371,371.0,vhigh,low,3.0,more,small,high,acc
372,372.0,vhigh,low,3.0,more,med,low,unacc
373,373.0,vhigh,low,3.0,more,med,med,acc
374,374.0,vhigh,low,3.0,more,med,high,acc
375,375.0,vhigh,low,3.0,more,big,low,unacc
376,376.0,vhigh,low,3.0,more,big,med,acc
377,377.0,vhigh,low,3.0,more,big,high,acc
378,378.0,vhigh,low,4.0,2.0,small,low,unacc
379,379.0,vhigh,low,4.0,2.0,small,med,unacc
380,380.0,vhigh,low,4.0,2.0,small,high,unacc
381,381.0,vhigh,low,4.0,2.0,med,low,unacc
382,382.0,vhigh,low,4.0,2.0,med,med,unacc
383,383.0,vhigh,low,4.0,2.0,med,high,unacc
384,384.0,vhigh,low,4.0,2.0,big,low,unacc
385,385.0,vhigh,low,4.0,2.0,big,med,unacc
386,386.0,vhigh,low,4.0,2.0,big,high,unacc
387,387.0,vhigh,low,4.0,4.0,small,low,unacc
388,388.0,vhigh,low,4.0,4.0,small,med,unacc
389,389.0,vhigh,low,4.0,4.0,small,high,acc
390,390.0,vhigh,low,4.0,4.0,med,low,unacc
391,391.0,vhigh,low,4.0,4.0,med,med,acc
392,392.0,vhigh,low,4.0,4.0,med,high,acc
393,393.0,vhigh,low,4.0,4.0,big,low,unacc
394,394.0,vhigh,low,4.0,4.0,big,med,acc
395,395.0,vhigh,low,4.0,4.0,big,high,acc
396,396.0,vhigh,low,4.0,more,small,low,unacc
397,397.0,vhigh,low,4.0,more,small,med,unacc
398,398.0,vhigh,low,4.0,more,small,high,acc
399,399.0,vhigh,low,4.0,more,med,low,unacc
400,400.0,vhigh,low,4.0,more,med,med,acc
401,401.0,vhigh,low,4.0,more,med,high,acc
402,402.0,vhigh,low,4.0,more,big,low,unacc
403,403.0,vhigh,low,4.0,more,big,med,acc
404,404.0,vhigh,low,4.0,more,big,high,acc
405,405.0,vhigh,low,5-more,2.0,small,low,unacc
406,406.0,vhigh,low,5-more,2.0,small,med,unacc
407,407.0,vhigh,low,5-more,2.0,small,high,unacc
408,408.0,vhigh,low,5-more,2.0,med,low,unacc
409,409.0,vhigh,low,5-more,2.0,med,med,unacc
410,410.0,vhigh,low,5-more,2.0,med,high,unacc
411,411.0,vhigh,low,5-more,2.0,big,low,unacc
412,412.0,vhigh,low,5-more,2.0,big,med,unacc
413,413.0,vhigh,low,5-more,2.0,big,high,unacc
414,414.0,vhigh,low,5-more,4.0,small,low,unacc
415,415.0,vhigh,low,5-more,4.0,small,med,unacc
416,416.0,vhigh,low,5-more,4.0,small,high,acc
417,417.0,vhigh,low,5-more,4.0,med,low,unacc
418,418.0,vhigh,low,5-more,4.0,med,med,acc
419,419.0,vhigh,low,5-more,4.0,med,high,acc
420,420.0,vhigh,low,5-more,4.0,big,low,unacc
421,421.0,vhigh,low,5-more,4.0,big,med,acc
422,422.0,vhigh,low,5-more,4.0,big,high,acc
423,423.0,vhigh,low,5-more,more,small,low,unacc
424,424.0,vhigh,low,5-more,more,small,med,unacc
425,425.0,vhigh,low,5-more,more,small,high,acc
426,426.0,vhigh,low,5-more,more,med,low,unacc
427,427.0,vhigh,low,5-more,more,med,med,acc
428,428.0,vhigh,low,5-more,more,med,high,acc
429,429.0,vhigh,low,5-more,more,big,low,unacc
430,430.0,vhigh,low,5-more,more,big,med,acc
431,431.0,vhigh,low,5-more,more,big,high,acc
432,432.0,high,vhigh,2.0,2.0,small,low,unacc
433,433.0,high,vhigh,2.0,2.0,small,med,unacc
434,434.0,high,vhigh,2.0,2.0,small,high,unacc
435,435.0,high,vhigh,2.0,2.0,med,low,unacc
436,436.0,high,vhigh,2.0,2.0,med,med,unacc
437,437.0,high,vhigh,2.0,2.0,med,high,unacc
438,438.0,high,vhigh,2.0,2.0,big,low,unacc
439,439.0,high,vhigh,2.0,2.0,big,med,unacc
440,440.0,high,vhigh,2.0,2.0,big,high,unacc
441,441.0,high,vhigh,2.0,4.0,small,low,unacc
442,442.0,high,vhigh,2.0,4.0,small,med,unacc
443,443.0,high,vhigh,2.0,4.0,small,high,unacc
444,444.0,high,vhigh,2.0,4.0,med,low,unacc
445,445.0,high,vhigh,2.0,4.0,med,med,unacc
446,446.0,high,vhigh,2.0,4.0,med,high,unacc
447,447.0,high,vhigh,2.0,4.0,big,low,unacc
448,448.0,high,vhigh,2.0,4.0,big,med,unacc
449,449.0,high,vhigh,2.0,4.0,big,high,unacc
450,450.0,high,vhigh,2.0,more,small,low,unacc
451,451.0,high,vhigh,2.0,more,small,med,unacc
452,452.0,high,vhigh,2.0,more,small,high,unacc
453,453.0,high,vhigh,2.0,more,med,low,unacc
454,454.0,high,vhigh,2.0,more,med,med,unacc
455,455.0,high,vhigh,2.0,more,med,high,unacc
456,456.0,high,vhigh,2.0,more,big,low,unacc
457,457.0,high,vhigh,2.0,more,big,med,unacc
458,458.0,high,vhigh,2.0,more,big,high,unacc
459,459.0,high,vhigh,3.0,2.0,small,low,unacc
460,460.0,high,vhigh,3.0,2.0,small,med,unacc
461,461.0,high,vhigh,3.0,2.0,small,high,unacc
462,462.0,high,vhigh,3.0,2.0,med,low,unacc
463,463.0,high,vhigh,3.0,2.0,med,med,unacc
464,464.0,high,vhigh,3.0,2.0,med,high,unacc
465,465.0,high,vhigh,3.0,2.0,big,low,unacc
466,466.0,high,vhigh,3.0,2.0,big,med,unacc
467,467.0,high,vhigh,3.0,2.0,big,high,unacc
468,468.0,high,vhigh,3.0,4.0,small,low,unacc
469,469.0,high,vhigh,3.0,4.0,small,med,unacc
470,470.0,high,vhigh,3.0,4.0,small,high,unacc
471,471.0,high,vhigh,3.0,4.0,med,low,unacc
472,472.0,high,vhigh,3.0,4.0,med,med,unacc
473,473.0,high,vhigh,3.0,4.0,med,high,unacc
474,474.0,high,vhigh,3.0,4.0,big,low,unacc
475,475.0,high,vhigh,3.0,4.0,big,med,unacc
476,476.0,high,vhigh,3.0,4.0,big,high,unacc
477,477.0,high,vhigh,3.0,more,small,low,unacc
478,478.0,high,vhigh,3.0,more,small,med,unacc
479,479.0,high,vhigh,3.0,more,small,high,unacc
480,480.0,high,vhigh,3.0,more,med,low,unacc
481,481.0,high,vhigh,3.0,more,med,med,unacc
482,482.0,high,vhigh,3.0,more,med,high,unacc
